"","t","onset","imported","domestic","total","imported_delay","domestic_delay","Rt","lower","upper"
"44",43,2020-02-15,0.569071297964933,18.2328464124653,18.8021828017144,0.569079321393366,18.233103480321,1.54112344901154,0.94,2.36
"45",44,2020-02-16,0.775698153574734,20.3938482843761,21.1698829717059,0.775710484902341,20.3941724868036,1.60073345340148,1.01,2.39
"46",45,2020-02-17,1.21358134189887,22.7221089506616,23.936119888194,1.2136031231485,22.7225167650455,1.64562284659027,1.06,2.41
"47",46,2020-02-18,1.8244073238885,25.9350749194881,27.7600455043515,1.82444434249853,25.9356011618529,1.713216796918,1.14,2.45
"48",47,2020-02-19,2.26624276074379,30.6358810586169,32.9028796236046,2.26629481926457,30.63658480434,1.82290143803806,1.26,2.54
"49",48,2020-02-20,2.3685580385844,35.7947806725031,38.1643325987194,2.3686197229291,35.7957128757903,1.89484496440393,1.35,2.58
"50",49,2020-02-21,2.347398318895,38.7134911637318,41.062103597159,2.34746772826357,38.7146358688954,1.80238143289279,1.3,2.43
"51",50,2020-02-22,2.26468529342754,37.8393529121801,40.105386583951,2.26476143669742,37.8406251472536,1.53956374287069,1.1,2.08
"52",51,2020-02-23,1.98557434834824,34.9126392825427,36.8996264652643,1.98565037608547,34.9139760891788,1.24773413318457,0.88,1.7
"53",52,2020-02-24,1.78610575083664,32.9201432425631,34.7077648024685,1.78618375970747,32.921581042761,1.05354409500886,0.74,1.45
"54",53,2020-02-25,2.34883110311644,32.7974389676989,35.1480238519341,2.34894830860173,32.7990755433323,0.967978250839441,0.68,1.33
"55",54,2020-02-26,4.19000892551029,33.5874588440197,37.779625104701,4.19024820183439,33.5893769028666,0.94337786347466,0.66,1.29
"56",55,2020-02-27,6.65301227334151,34.698977899753,41.3546973797559,6.65344782865746,34.7012495510985,0.951128990452022,0.67,1.3
"57",56,2020-02-28,7.79805211036165,35.9325862181024,43.7339262892552,7.79863841988206,35.9352878693731,0.973996616632579,0.69,1.32
"58",57,2020-02-29,6.85404607786117,36.8320818502366,43.6899071475607,6.85463901080271,36.8352681367579,0.987524556270889,0.71,1.34
"59",58,2020-03-01,5.2803894993652,37.5687356816919,42.8533983458761,5.280916090621,37.5724822552551,0.988865343054969,0.71,1.33
"60",59,2020-03-02,4.46644417471821,38.5499215645188,43.0213208769902,4.46695867299746,38.5543622039928,0.988920447044805,0.71,1.33
"61",60,2020-03-03,4.45459220174902,39.3697655226694,43.8302010106034,4.45518615128813,39.3750148593153,0.981951253969029,0.71,1.32
"62",61,2020-03-04,4.74261877195648,39.19806980136,43.9474850246234,4.74335232845269,39.2041326961707,0.952725764426027,0.69,1.28
"63",62,2020-03-05,4.86662807015499,37.7790936672335,42.6533914721415,4.86750332199549,37.785888150146,0.899152053578067,0.65,1.21
"64",63,2020-03-06,4.56042040285898,35.9005476323316,40.4694505759948,4.5613764835963,35.9080740923985,0.841852675218227,0.6,1.14
"65",64,2020-03-07,4.21312441740077,34.283359721596,38.5059181276807,4.2141568900789,34.2917612376018,0.798023336270935,0.56,1.09
"66",65,2020-03-08,4.84356593434605,32.7626175266947,37.6169892514363,4.84495768839915,32.7720315630372,0.763738111112542,0.54,1.05
"67",66,2020-03-09,7.15622230985598,31.1746247766976,38.3438066731211,7.15864181502141,31.1851648580997,0.734517873593669,0.51,1.02
"68",67,2020-03-10,11.2212072686124,30.2652551205946,41.5030338078274,11.225689485518,30.2773443223094,0.726000197328046,0.5,1.01
"69",68,2020-03-11,16.9210213581844,31.7238739776742,48.6679618184688,16.9290449841417,31.7389168343271,0.776129544675846,0.54,1.07
"70",69,2020-03-12,22.9298511374942,38.1305743073333,61.0949935178055,22.9428323894544,38.1521611283511,0.943381257560434,0.68,1.27
"71",70,2020-03-13,26.1224447553783,52.2513715418357,78.4271535424506,26.1402223666766,52.286931175774,1.27657035776132,0.97,1.65
"72",71,2020-03-14,24.7052031467927,74.2891417731586,99.0759973692607,24.7255804759144,74.3504168933463,1.72087654763043,1.36,2.14
"73",72,2020-03-15,20.5850889349859,100.429508931885,121.136750429071,20.6058675964106,100.53088283266,2.09655919742919,1.72,2.53
"74",73,2020-03-16,16.8871169306497,126.221075952773,143.286973906912,16.9082135288795,126.378760378032,2.26563530835268,1.9,2.68
"75",74,2020-03-17,14.7927863701356,151.902833127144,166.956655043286,14.8159510044478,152.140704038839,2.27306924634265,1.94,2.65
"76",75,2020-03-18,13.6590781942285,183.316997091378,197.36813211801,13.68626492197,183.68186719604,2.26008308928952,1.95,2.6
"77",76,2020-03-19,12.5192752723047,224.52323068641,237.651007926221,12.551412983658,225.099594942563,2.28422718157048,2,2.59
"78",77,2020-03-20,10.8411411001827,270.041888495376,281.826675480271,10.8775626604297,270.949112819841,2.28135377479648,2.03,2.56
"79",78,2020-03-21,8.80405561147422,312.853765966857,323.091836204369,8.84330584469832,314.248530359671,2.20770066013488,1.98,2.46
"80",79,2020-03-22,6.85234792991981,358.504024844499,367.544888971396,6.89339408526143,360.651494886134,2.12533752300842,1.92,2.35
"81",80,2020-03-23,5.15380815610264,415.922510247717,424.500753172836,5.19572188782115,419.305031285015,2.08668820139476,1.9,2.29
"82",81,2020-03-24,3.75326081238055,479.126945626234,488.254966849722,3.79503696588191,484.45992988384,2.05112339237965,1.88,2.23
"83",82,2020-03-25,2.71725336300508,536.026153591076,546.996629498902,2.75888003801598,544.237749460886,1.97326201494337,1.82,2.14
"84",83,2020-03-26,2.06756317600479,585.230176682872,599.721143717977,2.1112993775878,597.609844340389,1.86682754238557,1.73,2.02
"85",84,2020-03-27,1.73412485841091,624.921124300633,644.982146456565,1.78484034866464,643.197306107901,1.7432765571511,1.62,1.88
"86",85,2020-03-28,1.55784153416307,642.259239376742,669.838917485098,1.62080646475038,668.218111020348,1.58544898001733,1.47,1.7
"87",86,2020-03-29,1.35698839619597,629.97362607162,666.543199753701,1.43267468249034,665.11052507121,1.39750638619867,1.3,1.5
